Comp_date  Comp_time	Event	Pico_time[ms]	ADC_value[0-65535]	SiPM[mV]	Temp[deg]	Pres[Pa]	Deadtime[ms]
2021-01-01 00:00:46	240	37165	30359	30359000	25.48	75026.97	0
2021-01-01 00:00:46	241	37222	25222	25222000	25.48	75026.97	0
2021-01-01 00:00:46	242	37272	26182	26182000	25.48	75026.97	0
2021-01-01 00:00:46	243	37346	26998	26998000	25.48	75026.97	0
2021-01-01 00:00:46	244	37556	26134	26134000	25.48	75025.98	0
2021-01-01 00:00:46	245	37698	25270	25270000	25.48	75025.98	0
2021-01-01 00:00:46	246	37890	25238	25238000	25.48	75025.66	0
2021-01-01 00:00:47	247	38210	25622	25622000	25.48	75026.63	0
2021-01-01 00:00:47	248	38553	28727	28727000	25.48	75026.32	0
2021-01-01 00:00:47	249	38579	25078	25078000	25.48	75026.32	0
2021-01-01 00:00:47	250	38594	26278	26278000	25.48	75026.32	0
2021-01-01 00:00:47	251	38723	25414	25414000	25.48	75026.3	0
2021-01-01 00:00:47	252	38745	26102	26102000	25.48	75026.3	0
2021-01-01 00:00:48	253	39329	26950	26950000	25.48	75026.47	0
2021-01-01 00:00:48	254	39570	25782	25782000	25.48	75026.63	0
2021-01-01 00:00:49	255	40271	25622	25622000	25.48	75025.98	0
2021-01-01 00:00:49	256	40273	30439	30439000	25.48	75025.98	0
2021-01-01 00:00:49	257	40456	25046	25046000	25.48	75026.16	0
2021-01-01 00:00:49	258	40519	25766	25766000	25.48	75026.16	0
2021-01-01 00:00:49	259	40524	26118	26118000	25.48	75026.16	0
2021-01-01 00:00:49	260	40541	26454	26454000	25.48	75026.16	0
2021-01-01 00:00:49	261	40546	25574	25574000	25.48	75026.16	0
2021-01-01 00:00:49	262	40567	25078	25078000	25.48	75026.16	0
2021-01-01 00:00:49	263	40745	29159	29159000	25.48	75026.32	0
2021-01-01 00:00:49	264	40814	27014	27014000	25.48	75026.32	0
2021-01-01 00:00:49	265	40821	25766	25766000	25.48	75026.32	0
2021-01-01 00:00:49	266	40861	25126	25126000	25.48	75026.32	0
2021-01-01 00:00:50	267	41065	27478	27478000	25.48	75025.99	0
2021-01-01 00:00:50	268	41085	27558	27558000	25.48	75025.99	0
2021-01-01 00:00:50	269	41456	29607	29607000	25.48	75026.48	0
2021-01-01 00:00:50	270	41681	26918	26918000	25.48	75026.22	0
2021-01-01 00:00:50	271	42018	25510	25510000	25.48	75025.89	0
2021-01-01 00:00:51	272	42269	25078	25078000	25.48	75025.89	0
2021-01-01 00:00:51	273	42472	25686	25686000	25.47	75025.58	0
2021-01-01 00:00:51	274	42590	25254	25254000	25.47	75025.58	0
2021-01-01 00:00:51	275	42680	27910	27910000	25.47	75025.74	0
2021-01-01 00:00:51	276	42690	27302	27302000	25.47	75025.74	0
2021-01-01 00:00:51	277	42838	25990	25990000	25.47	75025.74	0
2021-01-01 00:00:51	278	42966	28646	28646000	25.47	75025.62	0
2021-01-01 00:00:51	279	42972	30391	30391000	25.47	75025.62	0
2021-01-01 00:00:52	280	43069	28182	28182000	25.47	75025.62	0
2021-01-01 00:00:52	281	43072	29751	29751000	25.47	75025.62	0
2021-01-01 00:00:52	282	43107	27654	27654000	25.47	75025.62	0
2021-01-01 00:00:52	283	43120	27430	27430000	25.47	75025.62	0
2021-01-01 00:00:52	284	43141	25526	25526000	25.47	75025.62	0
2021-01-01 00:00:52	285	43260	27590	27590000	25.47	75025.62	0
2021-01-01 00:00:52	286	43315	27750	27750000	25.47	75025.78	0
